actions,class_abilities,description,etats,exhaustion,image_url,images,internal_links,introduction,links,prerequisites,reactions,sections,skills,source,special_boxes,stats,table,tables,title,titre,traduction,type_rarete,url
[],,Acérérak est une archiliche connue pour prendre un malin plaisir à dévorer les âmes d'aventuriers qu'elle attire dans des donjons remplis de pièges et qui meurent dans d'horribles souffrances.,,,,,,,,"Mort-vivant de taille M, neutre mauvais",[],,,Adventures (Tomb of Annihilation),,"[""Classe d'armure"", '21 (armure naturelle)', 'Points de vie', '285 (30d8+150)', 'Vitesse', '9 m', 'FOR', '13 (+1)', 'DEX', '16 (+3)', 'CON', '20 (+5)', 'INT', '27 (+8)', 'SAG', '21 (+5)', 'CHA', '20 (+5)', 'Jets de sauvegarde', 'Con +12, Int +15, Sag +12', 'Compétences', 'Arcanes +22, Histoire +22, Intuition +12, Perception +12, Religion +15', 'Résistances aux dégâts', 'foudre, froid', 'Immunités aux dégâts', ""poison, nécrotique ; contondant, perforant et tranchant d'attaques non magiques"", 'Immunités aux états', 'assourdi, aveuglé, charmé, effrayé, empoisonné, épuisement, étourdi, paralysé, pétrifié', 'Sens', 'vision véritable 36 m, Perception passive 22', 'Langues', 'abyssal, commun, commun des profondeurs, draconique, elfique, géant, infernal, nain, primordial', 'Puissance', '23 (50000 PX)']",,,Acérérak,,,,https://www.aidedd.org/dnd/monstres.php?vf=acererak
,,"Vous avez une formation martiale qui vous permet d'effectuer des manœuvres de combat spéciales. Vous obtenez les avantages suivants : Vous apprenez deux manœuvres de votre choix parmi celles disponibles pour l'archétype de guerrier du maître de bataille. Si une manœuvre que vous utilisez nécessite que la cible fasse un jet de sauvegarde pour résister aux effets de la manœuvre, le DD du jet de sauvegarde est égal à 8 + votre bonus de maîtrise + votre modificateur de Force ou de Dextérité (selon votre choix). Vous gagnez un dé de supériorité, qui est un d6 (ce dé s'ajoute à tous autres dés de supériorité que vous pourriez avoir gagnés d'une autre source). Ce dé est utilisé pour alimenter vos manœuvres. Un dé de supériorité est dépensé lorsque vous l'utilisez. Vous regagnez vos dés de supériorité dépensés lorsque vous terminez un repos court ou long.",,,,,,,,Aucun,,,,Player´s Handbook,,,,,Adepte martial,,,,https://www.aidedd.org/dnd/dons.php?vf=adepte-martial
,,"Grâce à l'étude des connaissances occultes, vous avez libéré en vous un pouvoir surnaturels : vous apprenez une option de Manifestration occulte de votre choix de la classe d'occultiste. Si la manifestation possède un prérequis, quel qu'il soit, vous ne pouvez choisir cette manifestration que si vous êtes un occultiste qui remplit la condition préalable. Chaque fois que vous gagnez un niveau, vous pouvez remplacer la manifestation par une autre de la classe d'occultiste.",,,,,,,,Prérequis : Capacité Incantation ou Magie de pacte,,,,Tasha´s Cauldron of Everything,,,,,Adepte occulte,,,,https://www.aidedd.org/dnd/dons.php?vf=adepte-occulte
,,"Quand vous gagnez ce don, choisissez l'un des types de dégâts suivants : acide, froid, feu, foudre ou tonnerre. Les sorts que vous lancez ignorent la résistance aux dégâts du type choisi. En outre, lorsque vous lancez les dés de dégâts pour un sort que vous avez lancé et qui inflige des dégâts de ce type, vous pouvez traiter tout 1 aux dés comme un 2. Vous pouvez sélectionner ce don plusieurs fois. Chaque fois que vous faites cela, vous devez choisir un type de dégâts différent.",,,,,,,,Prérequis : Capacité de lancer au moins un sort,,,,Player´s Handbook,,,,,Adepte élémentaire,,,,https://www.aidedd.org/dnd/dons.php?vf=adepte-elementaire
[],,Non spécifié,,,https://www.aidedd.org/dnd/images/the-hungry.jpg,,,,,"Monstruosité de taille M, typiquement neutre mauvais",[],,,Monsters of the Multiverse,,"[""Classe d'armure"", '17 (armure naturelle)', 'Points de vie', '225 (30d8 + 90)', 'Vitesse', '9 m', 'FOR', '19 (+4)', 'DEX', '10 (+0)', 'CON', '17 (+3)', 'INT', '6 (-2)', 'SAG', '11 (+0)', 'CHA', '6 (-2)', 'Résistances aux dégâts', 'contondant, perforant et tranchant en zone de lumière faible ou de ténèbres', 'Sens', 'vision dans le noir 18 m, Perception passive 10', 'Langues', 'commun', 'Puissance', '11 (7200 PX)', 'Bonus de maîtrise', '+4']",,,Affligé affamé,,,,https://www.aidedd.org/dnd/monstres.php?vf=afflige-affame
[],,Non spécifié,,,https://www.aidedd.org/dnd/images/the-angry.jpg,,,,,"Monstruosité de taille M, typiquement neutre mauvais",[],,,Monsters of the Multiverse,,"[""Classe d'armure"", '18 (armure naturelle)', 'Points de vie', '255 (30d8 + 120)', 'Vitesse', '9 m', 'FOR', '17 (+3)', 'DEX', '10 (+0)', 'CON', '19 (+4)', 'INT', '8 (-1)', 'SAG', '13 (+1)', 'CHA', '6 (-2)', 'Compétences', 'Perception +6', 'Résistances aux dégâts', 'contondant, perforant et tranchant en zone de lumière faible ou de ténèbres', 'Sens', 'vision dans le noir 18 m, Perception passive 16', 'Langues', 'commun', 'Puissance', '13 (10000 PX)', 'Bonus de maîtrise', '+5']",,,Affligé colérique,,,,https://www.aidedd.org/dnd/monstres.php?vf=afflige-colerique
[],,Non spécifié,,,https://www.aidedd.org/dnd/images/the-wretched.jpg,,,,,"Monstruosité de taille P, typiquement neutre mauvais",[],,,Monsters of the Multiverse,,"[""Classe d'armure"", '15 (armure naturelle)', 'Points de vie', '10 (4d6 - 4)', 'Vitesse', '12 m', 'FOR', '7 (-2)', 'DEX', '12 (+1)', 'CON', '9 (-1)', 'INT', '5 (-3)', 'SAG', '6 (-2)', 'CHA', '5 (-3)', 'Résistances aux dégâts', 'contondant, perforant et tranchant en zone de lumière faible ou de ténèbres', 'Sens', 'vision dans le noir 18 m, Perception passive 8', 'Langues', '—', 'Puissance', '1/4 (50 PX)', 'Bonus de maîtrise', '+2']",,,Affligé misérable,,,,https://www.aidedd.org/dnd/monstres.php?vf=afflige-miserable
[],,Non spécifié,,,https://www.aidedd.org/dnd/images/the-lost.jpg,,,,,"Monstruosité de taille M, typiquement neutre mauvais",[],,,Monsters of the Multiverse,,"[""Classe d'armure"", '15 (armure naturelle)', 'Points de vie', '78 (12d8 + 24)', 'Vitesse', '9 m', 'FOR', '17 (+3)', 'DEX', '12 (+1)', 'CON', '15 (+2)', 'INT', '6 (-2)', 'SAG', '7 (-2)', 'CHA', '5 (-3)', 'Compétences', 'Athlétisme +6', 'Résistances aux dégâts', 'contondant, perforant et tranchant en zone de lumière faible ou de ténèbres', 'Sens', 'vision dans le noir 18 m, Perception passive 8', 'Langues', 'commun', 'Puissance', '7 (2900 PX)', 'Bonus de maîtrise', '+3']",,,Affligé perdu,,,,https://www.aidedd.org/dnd/monstres.php?vf=afflige-perdu
[],,Non spécifié,,,https://www.aidedd.org/dnd/images/the-lonely.jpg,,,,,"Monstruosité de taille M, typiquement neutre mauvais",[],,,Monsters of the Multiverse,,"[""Classe d'armure"", '16 (armure naturelle)', 'Points de vie', '112 (15d8 + 45)', 'Vitesse', '9 m', 'FOR', '16 (+3)', 'DEX', '12 (+1)', 'CON', '17 (+3)', 'INT', '6 (-2)', 'SAG', '11 (+0)', 'CHA', '6 (-2)', 'Résistances aux dégâts', 'contondant, perforant et tranchant en zone de lumière faible ou de ténèbres', 'Sens', 'vision dans le noir 18 m, Perception passive 10', 'Langues', 'commun', 'Puissance', '9 (5000 PX)', 'Bonus de maîtrise', '+4']",,,Affligé solitaire,,,,https://www.aidedd.org/dnd/monstres.php?vf=afflige-solitaire
,,"Vous êtes particulièrement agile pour votre race. Vous obtenez les avantages suivants : Augmentez votre valeur de Force ou de Dextérité de 1, pour un maximum de 20. Augmentez votre vitesse de marche de 1,50 mètre. Vous gagnez la maîtrise de la compétence Acrobaties ou Athlétisme. Vous avez un avantage à vos jets de Force (Athlétisme) ou Dextérité (Acrobaties) pour vous échapper si vous êtes agrippé.",,,,,,,,Prérequis : Nain ou race de taille P,,,,Xanathar´s Guide to Everything,,,,,Agilité des courts-sur-pattes,,,,https://www.aidedd.org/dnd/dons.php?vf=agilite-des-courts-sur-pattes
,,"Vous agrandissez ou réduisez en taille une créature ou un objet que vous pouvez voir et qui est à portée pour la durée du sort. Choisissez une créature ou un objet qui n'est pas porté ou transporté. Si la cible n'est pas consentante, elle peut effectuer un jet de sauvegarde de Constitution. En cas de réussite, le sort n'a aucun effet. Si la cible est une créature, toutes les choses qu'elle porte et transporte changent de taille avec elle. Tout objet lâché par la créature affectée reprend sa taille normale. Agrandissement . La cible double dans toutes les dimensions, et son poids est multiplié par huit. Cela augmente sa taille d'une catégorie, de M à G par exemple. S'il n'y a pas assez de place dans la pièce pour que la cible double de taille, la créature ou l'objet atteint la taille maximale possible dans l'espace disponible. Jusqu'à la fin du sort, la cible a aussi un avantage à ses jets de Force et ses jets de sauvegarde de Force. Les armes de la cible grandissent également. Tant que ces armes sont agrandies, les attaques de la cible occasionnent 1d4 dégâts supplémentaires. Rapetissement . La taille de la cible est diminuée de moitié dans toutes les dimensions, et son poids est divisé par huit. Cette réduction diminue sa taille d'une catégorie, de M à P par exemple. Jusqu'à la fin du sort, la cible a un désavantage à ses jets de Force et à ses jets de sauvegarde de Force. Les armes de la cible rapetissent aussi. Tant que ces armes sont réduites, les attaques de la cible occasionnent 1d4 dégâts en moins (minimum 1 point de dégâts).",,,,,,,,Aucun,,,,Player´s Handbook (SRD),,,,,Agrandissement/Rapetissement,,,,https://www.aidedd.org/dnd/sorts.php?vf=agrandissement-rapetissement
,,"Votre sort emplit vos alliés de robustesse et de résolution. Choisissez jusqu'à trois créatures à portée. Le maximum de points de vie et les points de vie actuels de chaque cible augmentent de 5 pour la durée du sort. Aux niveaux supérieurs . Lorsque vous lancez ce sort en utilisant un emplacement de sort de niveau 3 ou supérieur, les points de vie de chaque cible augmentent de 5 pour chaque niveau d'emplacement au-delà du niveau 2.",,,,,,,,Aucun,,,,Player´s Handbook (SRD),,,,,Aide,,,,https://www.aidedd.org/dnd/sorts.php?vf=aide
"['Serres. Attaque au corps à corps avec une arme : +4 au toucher, allonge 1,50 m, une cible. Touché\xa0: 4 (1d4 + 2) dégâts tranchants.']",,,,,https://www.aidedd.org/dnd/images/eagle.jpg,,,,,"Bête de taille P, sans alignement",[],,"['Serres. Attaque au corps à corps avec une arme : +4 au toucher, allonge 1,50 m, une cible. Touché\xa0: 4 (1d4 + 2) dégâts tranchants.']",Monster Manual (SRD),,"[""Classe d'armure"", '12', 'Points de vie', '3 (1d6)', 'Vitesse', '3 m, vol 18 m', 'FOR', '6 (-2)', 'DEX', '15 (+2)', 'CON', '10 (+0)', 'INT', '2 (-4)', 'SAG', '14 (+2)', 'CHA', '7 (-2)', 'Compétences', 'Perception +4', 'Sens', 'Perception passive 14', 'Langues', '—', 'Puissance', '0 (10 PX)']",,,Aigle,,,,https://www.aidedd.org/dnd/monstres.php?vf=aigle
"[""Attaques multiples. L'aigle réalise deux attaques : une avec son bec et une avec ses serres."", 'Bec. Attaque au corps à corps avec une arme : +5 au toucher, allonge 1,50 m, une cible. Touché\xa0: 6 (1d6 + 3) dégâts perforants.', 'Serres. Attaque au corps à corps avec une arme : +5 au toucher, allonge 1,50 m, une cible. Touché\xa0: 10 (2d6 + 3) dégâts tranchants.']",,L'aigle géant est une noble créature qui parle son propre langage et en comprend certains autres.,,,,,,,,"Bête de taille G, neutre bon",[],,"[""Attaques multiples. L'aigle réalise deux attaques : une avec son bec et une avec ses serres."", 'Bec. Attaque au corps à corps avec une arme : +5 au toucher, allonge 1,50 m, une cible. Touché\xa0: 6 (1d6 + 3) dégâts perforants.', 'Serres. Attaque au corps à corps avec une arme : +5 au toucher, allonge 1,50 m, une cible. Touché\xa0: 10 (2d6 + 3) dégâts tranchants.']",Monster Manual (SRD),,"[""Classe d'armure"", '13', 'Points de vie', '26 (4d10 + 4)', 'Vitesse', '3 m, vol 24 m', 'FOR', '16 (+3)', 'DEX', '17 (+3)', 'CON', '13 (+1)', 'INT', '8 (-1)', 'SAG', '14 (+2)', 'CHA', '10 (+0)', 'Compétences', 'Perception +4', 'Sens', 'Perception passive 14', 'Langues', ""Un aigle géant comprend le commun et l'aérien mais ne peut pas les parler"", 'Puissance', '1 (200 PX)']",,,Aigle géant,,,,https://www.aidedd.org/dnd/monstres.php?vf=aigle-geant
,,"Vous mettez en place une alarme contre les intrusions indésirables. Choisissez une porte, une fenêtre, ou une zone à portée qui ne dépasse pas un cube de 6 mètres d'arête. Jusqu'à la fin du sort, une alarme vous alerte lorsqu'une créature de taille TP ou supérieure touche ou pénètre la zone surveillée. Lorsque vous lancez ce sort, vous pouvez désigner des créatures qui ne déclencheront pas l'alarme. Vous pouvez également choisir si l'alarme est audible ou juste mentale. Une alarme mentale vous alerte avec une sonnerie dans votre esprit à condition que vous soyez à 1,5 kilomètre maximum de la zone surveillée. Cette sonnerie vous réveille si vous êtes endormi. Une alarme audible produit le son d'une clochette à main, pendant 10 secondes, pouvant être entendue à 18 mètres.",,,,,,,,Aucun,,,,Player´s Handbook (SRD),,,,,Alarme,,,,https://www.aidedd.org/dnd/sorts.php?vf=alarme
